id_entidad_federativa,entidad_federativa,municipio,anio,tipo_contaminante,nombre_contaminante,numero_sitios
1,Aguascalientes,Aguascalientes,2016,"Hidrocarburos, fracción ligera",Gasolina,1
2,Baja California,Tecate,2016,"Hidrocarburos, más de una fracción",Más de un combustible o producto,6
2,Baja California,Tijuana,2016,"Hidrocarburos, fracción ligera",Gasolina,1
2,Baja California,Tijuana,2016,"Hidrocarburos, fracción media",Diesel,1
2,Baja California,Tijuana,2019,"Hidrocarburos, fracción media",Turbosina,1
3,Baja California Sur,Comondú,2016,"Hidrocarburos, fracción media",Diesel,1
3,Baja California Sur,Comondú,2022,"Hidrocarburos, fracción media",Diesel,1
3,Baja California Sur,Mulegé,2017,"Hidrocarburos, fracción media",Diesel,1
3,Baja California Sur,La Paz,2016,"Hidrocarburos, fracción media",Turbosina,1
3,Baja California Sur,La Paz,2018,"Hidrocarburos, fracción ligera",Gasolina,1
3,Baja California Sur,La Paz,2019,"Hidrocarburos, fracción media",Diesel,1
3,Baja California Sur,La Paz,2021,"Hidrocarburos, fracción media",Turbosina,1
4,Campeche,Carmen,2016,"Hidrocarburos, fracción pesada",Combustóleo,1
4,Campeche,Champotón,2016,"Hidrocarburos, fracción pesada",Combustóleo,1
4,Campeche,Champotón,2018,"Hidrocarburos, fracción media",Diesel,1
4,Campeche,Escárcega,2017,"Hidrocarburos, fracción media",Diesel,1
5,Coahuila,Arteaga,2021,"Hidrocarburos, fracción media",Diesel,1
5,Coahuila,Escobedo,2023,"Hidrocarburos, fracción ligera",Gasolina,1
5,Coahuila,Parras,2022,"Hidrocarburos, fracción media",Diesel,1
5,Coahuila,Parras,2023,"Hidrocarburos, fracción media",Diesel,1
5,Coahuila,Ramos Arizpe,2021,"Hidrocarburos, fracción media",Diesel,1
5,Coahuila,Ramos Arizpe,2022,"Hidrocarburos, fracción ligera",Gasolina,1
5,Coahuila,Saltillo,2016,"Hidrocarburos, fracción media",Diesel,1
5,Coahuila,Saltillo,2018,"Hidrocarburos, más de una fracción",Más de un combustible o producto,1
5,Coahuila,Saltillo,2021,"Hidrocarburos, fracción ligera",Gasolina,1
5,Coahuila,Saltillo,2022,"Hidrocarburos, más de una fracción",Más de un combustible o producto,3
5,Coahuila,Saltillo,2023,"Hidrocarburos, más de una fracción",Más de un combustible o producto,2
5,Coahuila,San Pedro,2018,"Hidrocarburos, fracción media",Diesel,1
5,Coahuila,San Pedro,2019,"Hidrocarburos, fracción media",Diesel,1
5,Coahuila,Torreón,2022,"Hidrocarburos, fracción media",Diesel,1
5,Coahuila,Torreón,2023,"Hidrocarburos, fracción media",Diesel,1
5,Coahuila,Viesca,2022,"Hidrocarburos, fracción ligera",Gasolina,1
6,Colima,Colima,2019,"Hidrocarburos, fracción ligera",Gasolina,1
6,Colima,Colima,2023,"Hidrocarburos, fracción media",Diesel,1
6,Colima,Manzanillo,2017,"Hidrocarburos, fracción pesada",Combustóleo,1
6,Colima,Tecomán,2019,"Hidrocarburos, fracción media",Diesel,1
7,Chiapas,Arriaga,2021,"Hidrocarburos, fracción ligera",Gasolina,1
7,Chiapas,Juárez,2016,"Hidrocarburos, fracción pesada",Petróleo crudo,1
7,Chiapas,Ocozocoautla de Espinosa,2022,"Hidrocarburos, fracción ligera",Gasolina,1
7,Chiapas,Villa Comaltitlán,2020,"Hidrocarburos, fracción media",Diesel,1
7,Chiapas,Tapachula,2017,"Hidrocarburos, fracción media",Diesel,1
7,Chiapas,Mezcalapa,2016,"Hidrocarburos, fracción media",Diesel,1
7,Chiapas,Mezcalapa,2023,"Hidrocarburos, fracción media",Diesel,1
8,Chihuahua,Ahumada,2017,"Hidrocarburos, fracción media",Diesel,1
8,Chihuahua,Ahumada,2022,"Hidrocarburos, fracción media",Diesel,1
8,Chihuahua,Ahumada,2023,"Hidrocarburos, fracción media",Diesel,1
8,Chihuahua,Bocoyna,2017,"Hidrocarburos, fracción media",Diesel,1
8,Chihuahua,Bocoyna,2019,"Hidrocarburos, fracción media",Diesel,1
8,Chihuahua,Camargo,2019,"Hidrocarburos, fracción media",Diesel,1
8,Chihuahua,Camargo,2020,"Hidrocarburos, fracción media",Diesel,1
8,Chihuahua,Cuauhtémoc,2019,"Hidrocarburos, fracción media",Diesel,1
8,Chihuahua,Cuauhtémoc,2020,"Hidrocarburos, fracción media",Diesel,1
8,Chihuahua,Chihuahua,2020,"Hidrocarburos, más de una fracción",Mezclas de productos derivados del petróleo,1
8,Chihuahua,Chihuahua,2023,"Hidrocarburos, fracción media",Turbosina,1
8,Chihuahua,Santa Isabel,2023,"Hidrocarburos, fracción media",Diesel,1
